"";"Observation.No";"Observed.y";"Predicted.Prob";"Predicted.y"
"2685";2042;0;0,432925906307276;0
"1695";1282;0;0,502084988445174;1
"2317";1773;1;0,37722049610622;0
"2199";1679;1;0,486399253577946;0
"1986";1517;1;0,638922829474337;1
"369";285;1;0,448099753447561;0
"3041";2306;1;0,340534509639741;0
"1145";872;0;0,338265949038473;0
"551";425;1;0,492617156868977;0
"1461";1115;0;0,180076480733669;0
"1722";1305;1;0,632239086559917;1
"2855";2175;1;0,67770839494124;1
"1476";1126;0;0,350859506187075;0
"1355";1037;1;0,495470283092971;0
"642";495;0;0,465197600098103;0
"628";484;1;0,272898481325551;0
"1864";1421;1;0,307329672325163;0
"2594";1977;0;0,563943925540628;1
"2436";1864;0;0,44824190336027;0
"591";454;0;0,325686316354823;0
"337";259;1;0,469396427099863;0
"1221";926;0;0,525135171954757;1
"3121";2360;0;0,353903763454761;0
"2558";1950;0;0,443497109138898;0
"704";542;0;0,509344881822709;1
"957";726;0;0,324646647682313;0
"528";411;1;0,626647744107466;1
"2458";1879;0;0,333178992604056;0
"69";50;1;0,58375560941031;1
"386";299;1;0,611883599814189;1
"87";66;0;0,514909132857429;1
"606";467;1;0,371923940772194;0
"2762";2099;1;0,191465530364319;0
"355";274;1;0,63817465714918;1
"2201";1681;0;0,654134629261137;1
"332";254;0;0,324848306327941;0
"1923";1467;0;0,242900843971424;0
"461";361;1;0,431607113892837;0
"2068";1576;0;0,453973310017324;0
"3031";2299;0;0,43482951248585;0
"2160";1647;0;0,742983593634074;1
"1974";1508;1;0,448521043255562;0
"2970";2251;0;0,400063275581074;0
"743";568;0;0,436810970062445;0
"797";609;1;0,50077061138872;1
"1352";1035;1;0,676516498035713;1
"703";541;0;0,368362411612229;0
"1178";893;1;0,463936302734211;0
"2522";1928;1;0,331111598441017;0
"1014";769;0;0,405340732974741;0
"2752";2089;0;0,380593643982375;0
"1957";1495;1;0,290216841048809;0
"374";290;1;0,532104586965005;1
"1043";793;1;0,312604802351369;0
"932";706;0;0,498296846678429;0
"881";672;0;0,285029061789947;0
"2130";1624;1;0,355436542587835;0
"1684";1275;1;0,420731524693295;0
"256";193;0;0,428471740902057;0
"1051";799;0;0,418756972500765;0
"10";8;1;0,524644641787101;1
"880";671;0;0,703781011276074;1
"2744";2083;0;0,368037263496647;0
"390";302;0;0,281679282562744;0
"2402";1841;1;0,67975624137705;1
"1503";1144;0;0,304990838689717;0
"593";455;0;0,514310815280946;1
"665";512;0;0,562577400749771;1
"3103";2346;0;0,4373473456712;0
"2666";2028;1;0,711831798068369;1
"326";250;0;0,391186809615278;0
"3011";2285;1;0,387544538457964;0
"1236";940;0;0,305215625643674;0
"2445";1871;0;0,506736795176416;1
"2468";1888;0;0,509686380859592;1
"490";380;0;0,305322361790193;0
"875";668;0;0,419091799044426;0
"253";191;1;0,309344237776303;0
"2781";2115;0;0,523670036632481;1
"767";586;1;0,541688578956471;1
"281";215;0;0,348683858460372;0
"2449";1873;0;0,490068972435538;0
"996";754;1;0,30553496413733;0
"778";595;1;0,455022419415724;0
"1628";1236;1;0,463115538460838;0
"437";342;0;0,600437696128483;1
"2643";2011;1;0,326185691497484;0
"1950";1490;0;0,344433857745539;0
"839";642;1;0,685400256259475;1
"154";115;0;0,322425003938138;0
"1468";1120;1;0,722191062249081;1
"1123";854;1;0,601117346496738;1
"2185";1667;1;0,48587129458246;0
"969";735;0;0,315955099219833;0
"2527";1933;1;0,217468594255218;0
"27";19;0;0,341812774323697;0
"228";166;0;0,185559576630229;0
"1875";1431;0;0,462537349421294;0
"2917";2217;0;0,331402258399931;0
"1192";903;1;0,501294626178411;1
"3064";2322;0;0,475803386969988;0
"59";43;0;0,354373191469706;0
"623";479;0;0,295008182405099;0
"1877";1433;1;0,337082542420578;0
"1232";936;1;0,478387523250893;0
"1991";1521;0;0,417372220008899;0
"680";523;0;0,373653061089864;0
"2103";1604;0;0,503306930868061;1
"2466";1886;0;0,35788348658456;0
"330";253;0;0,515566756755352;1
"357";275;0;0,672504271656194;1
"2233";1704;0;0,335994417340749;0
"493";383;0;0,338277093415744;0
"3046";2310;1;0,289532366501483;0
"2396";1836;1;0,45426531703964;0
"480";371;1;0,303331115975472;0
"242";180;1;0,512134615598834;1
"1519";1154;1;0,37162195808557;0
"1581";1201;1;0,471614736407176;0
"1144";871;0;0,408136099771219;0
"963";731;0;0,492960589749223;0
"2585";1970;0;0,410872405343153;0
"1658";1258;0;0,590593551897904;1
"181";131;0;0,440856580384229;0
"2195";1675;1;0,426438095707922;0
"1802";1369;0;0,700263515746527;1
"1380";1057;0;0,565708838494468;1
"382";295;1;0,422539615188988;0
"2277";1741;0;0,306893759492454;0
"56";42;0;0,295026507794374;0
"2910";2212;0;0,499037439119638;0
"2235";1706;1;0,113762413065584;0
"427";333;1;0,472502627320156;0
"2804";2134;1;0,544959388174013;1
"717";549;0;0,448005837966147;0
"1369";1049;0;0,544787414340839;1
"577";441;1;0,657023260552628;1
"580";443;0;0,308044933791514;0
"2011";1535;0;0,436408236713466;0
"1613";1226;0;0,365696084378824;0
"2982";2260;0;0,337488257347278;0
"1297";993;1;0,413743007593515;0
"1100";834;1;0,293101300943386;0
"2474";1893;1;0,51679241608244;1
"523";406;1;0,547703069555122;1
"2315";1771;0;0,297901127955702;0
"94";69;0;0,341491525131823;0
"1733";1313;0;0,492061606564498;0
"346";266;0;0,45774684874492;0
"2116";1612;0;0,275107713313241;0
"2153";1641;0;0,527575783957606;1
"2743";2082;1;0,733843619895069;1
"1029";780;1;0,314358120298525;0
"371";287;0;0,445192908070663;0
"2829";2153;1;0,642106970877692;1
"1474";1124;0;0,447978948964893;0
"65";47;0;0,438772021904126;0
"2205";1684;0;0,463477883510171;0
"1159";881;0;0,337094445846564;0
"2381";1822;0;0,431833108265186;0
"2538";1939;1;0,498284100385965;0
"1798";1365;1;0,298319471259783;0
"998";755;0;0,574994461709921;1
"418";324;0;0,403340501267608;0
"1053";800;0;0,608966064260278;1
"2844";2168;1;0,700608617042225;1
"92";67;0;0,546832485204284;1
"108";79;0;0,565361757273074;1
"1287";984;1;0,51265988546396;1
"135";101;1;0,450336390143135;0
"3109";2349;1;0,538474432073984;1
"547";421;1;0,744606005271682;1
"1411";1080;1;0,444322492071251;0
"485";375;1;0,676312954959017;1
"631";487;0;0,492165014652778;0
"2141";1632;1;0,289582332280927;0
"2983";2261;1;0,440469783488257;0
"2698";2053;1;0,389355585031899;0
"1230";934;1;0,454857013054159;0
"2422";1855;1;0,351079723991981;0
"133";100;0;0,347167749131261;0
"1036";787;0;0,509208364131067;1
"1786";1355;1;0,344493714719429;0
"2312";1768;1;0,559371112521664;1
"2358";1803;0;0,17739324323173;0
"2651";2017;0;0,438934686411755;0
"1801";1368;0;0,455214527865949;0
"1890";1443;0;0,364747302527806;0
"1754";1329;1;0,505646107626352;1
"1281";979;0;0,479194154331679;0
"178";129;0;0,348121784591462;0
"1835";1396;1;0,454166657733295;0
"52";38;1;0,332072697239334;0
"1071";811;0;0,184475374694266;0
"2219";1695;0;0,118086658481969;0
"848";647;0;0,304810568919943;0
"68";49;1;0,489618682140871;0
"1430";1094;1;0,659803242521327;1
"1333";1022;1;0,482370906283264;0
"132";99;0;0,468042572594771;0
"2434";1863;0;0,603615922786796;1
"517";403;0;0,372501995201948;0
"2718";2068;1;0,286916335418628;0
"460";360;1;0,680397986984035;1
"912";693;1;0,308511423568821;0
"2236";1707;0;0,133350708606813;0
"1054";801;0;0,435256043240969;0
"1813";1379;1;0,41012454263101;0
"1937";1478;1;0,695475475921593;1
"1863";1420;1;0,61833175457434;1
"1612";1225;0;0,306915564418616;0
"1565";1188;1;0,443971810450256;0
"1508";1147;0;0,358062473498027;0
"1757";1332;1;0,255439969042829;0
"2308";1765;1;0,417710784456358;0
"1625";1234;1;0,216422881584683;0
"2772";2107;0;0,195327422334396;0
"2684";2041;1;0,28130475877372;0
"2995";2271;0;0,182462913397886;0
"2079";1585;1;0,406530652564559;0
