"";"Observation.No";"Observed.y";"Predicted.y"
"473";468;1;1
"1375";1342;1;1
"2442";2373;1;3
"1377";1344;1;1
"2142";2087;3;3
"1667";1629;1;1
"586";577;1;1
"2672";2598;3;3
"496";490;2;1
"1318";1285;1;1
"2825";2748;1;1
"2273";2214;1;1
"573";564;1;3
"2855";2777;2;1
"1316";1283;2;3
"439";435;3;1
"2636";2562;3;1
"94";94;3;3
"687";675;3;3
"153";152;1;1
"500";494;1;1
"2990";2911;1;1
"2023";1971;1;1
"1537";1502;2;1
"1975";1924;3;3
"49";49;2;1
"1603";1567;3;1
"2722";2646;1;1
"2135";2080;3;3
"2972";2893;2;1
"767";751;3;1
"2643";2569;1;1
"2745";2669;1;1
"2321";2256;3;1
"1858";1810;3;3
"2499";2427;1;1
"929";906;3;3
"1104";1075;2;1
"2343";2278;3;1
"1839";1792;3;3
"2642";2568;3;3
"1598";1562;1;3
"3015";2936;1;1
"810";793;3;1
"1733";1692;1;3
"2222";2163;1;1
"2354";2289;1;1
"2506";2434;3;1
"363";359;1;1
"3080";3000;3;3
"82";82;2;3
"2494";2422;1;1
"73";73;1;3
"2377";2311;3;3
"2228";2169;3;3
"1763";1721;1;1
"154";153;3;1
"2575";2501;2;1
"2348";2283;2;1
"2108";2053;2;1
"875";853;3;1
"2338";2273;3;1
"137";137;2;3
"133";133;2;3
"1431";1397;1;1
"2955";2876;1;1
"1066";1040;3;1
"2400";2333;3;3
"1788";1745;2;1
"2474";2403;1;1
"2232";2173;3;3
"2870";2792;3;3
"3138";3057;2;1
"1993";1942;1;3
"1709";1669;1;1
"1438";1404;1;1
"1726";1685;3;3
"538";530;3;3
"717";705;2;1
"2859";2781;1;3
"779";763;3;1
"2035";1981;1;1
"1402";1368;1;1
"2878";2800;3;1
"1112";1082;1;1
"1869";1821;3;3
"2824";2747;2;1
"528";520;2;3
"1349";1316;3;3
"2986";2907;1;1
"974";951;1;1
"1194";1164;2;3
"2009";1957;1;3
"1718";1677;1;3
"113";113;1;3
"401";397;1;1
"20";20;1;3
"1290";1258;2;1
"2698";2623;1;1
"1445";1411;3;3
"775";759;3;3
"1184";1154;3;3
"160";159;1;3
"933";910;1;3
"44";44;2;3
"2479";2408;1;1
"2760";2684;2;3
"1364";1331;3;3
"3081";3001;3;1
"1966";1915;1;3
"357";353;3;1
"1050";1024;1;3
"2330";2265;1;1
"920";897;3;3
"1082";1053;3;1
"1042";1016;3;1
"200";199;1;3
"634";622;1;1
"2916";2838;3;1
"1393";1360;1;3
"1702";1662;3;1
"1345";1312;2;1
"503";497;3;3
"2720";2644;3;3
"2193";2135;3;3
"1862";1814;1;1
"1780";1737;3;1
"1180";1150;1;3
"260";258;1;1
"1151";1121;1;3
"1094";1065;1;1
"2315";2251;3;1
"2044";1990;1;1
"2708";2632;2;1
"2572";2498;1;1
"2129";2074;2;3
"971";948;2;3
"1652";1614;3;3
"139";139;3;1
"2402";2335;3;1
"679";667;2;1
"397";393;3;3
"2593";2519;1;3
"1541";1506;2;1
"2389";2322;1;1
"736";722;2;1
"2116";2061;3;3
"2872";2794;1;1
"1579";1544;3;1
"2853";2775;3;1
"1910";1861;3;3
"1035";1009;2;3
"690";678;3;3
"1125";1095;2;1
"1400";1366;1;3
"973";950;3;3
"1297";1265;1;1
"2949";2870;1;1
"1303";1271;1;3
"2805";2728;3;1
"3109";3028;2;1
"1395";1362;3;3
"1248";1217;2;3
"2087";2032;1;1
"994";971;1;3
"1724";1683;3;1
"1650";1612;1;1
"677";665;1;1
"204";203;1;1
"524";516;1;1
"419";415;3;1
"892";870;1;1
"605";596;1;3
"1665";1627;1;1
"2569";2495;3;3
"1806";1762;1;1
"231";230;3;3
"456";452;1;1
"1313";1280;1;1
"263";261;1;3
"1347";1314;2;1
"1781";1738;1;3
"33";33;3;1
"1390";1357;1;1
"2239";2180;1;1
"2323";2258;3;3
"759";744;3;3
"1299";1267;1;1
"3111";3030;2;1
"2324";2259;1;1
"346";344;3;1
"1113";1083;2;1
"2676";2602;1;1
"1633";1596;1;3
"2184";2126;1;3
"2854";2776;3;1
"547";539;3;1
"716";704;1;1
"1356";1323;3;1
"410";406;1;1
"2791";2715;3;3
"1134";1104;2;3
"2028";1976;2;3
"238";237;1;3
"315";313;1;3
"2585";2511;1;1
"398";394;1;3
"1711";1671;1;1
"209";208;3;1
"610";601;1;3
"2241";2182;3;3
"2190";2132;1;3
"1141";1111;3;3
"1052";1026;2;3
"354";351;1;1
"1860";1812;2;1
"3021";2942;2;3
"1639";1602;2;1
"2681";2606;3;1
"2147";2091;3;1
"2355";2290;1;1
"771";755;2;3
"1767";1725;3;1
"2978";2899;3;1
"2018";1966;3;1
"420";416;3;1
"3041";2961;1;3
"1056";1030;2;3
"1914";1865;1;1
"3057";2977;2;1
"1446";1412;1;1
"2838";2761;3;3
"1263";1231;1;1
"1488";1454;3;1
"85";85;1;1
"80";80;2;1
"2157";2101;1;1
"3054";2974;2;1
"117";117;2;1
"356";352;1;1
"2378";2312;3;3
"1284";1252;2;1
"1580";1545;2;1
"714";702;2;1
"2252";2193;2;1
"1215";1185;2;1
"914";891;1;1
"1157";1127;1;3
"469";464;1;1
"515";508;2;1
"558";550;2;1
"2728";2652;1;1
"2077";2022;3;3
"254";252;2;3
"2579";2505;2;3
"140";140;1;1
"2861";2783;1;3
"1662";1624;1;1
"1238";1207;2;3
"2790";2714;2;3
