"";"Observation.No";"Observed.y";"Predicted.y"
"2057";1852;1;2
"2590";3013;1;2
"1711";248;1;2
"1684";3159;2;2
"199";1388;1;1
"839";557;4;2
"1035";3280;1;2
"1277";2672;1;3
"558";2616;2;1
"589";3321;2;2
"1479";571;2;2
"1407";3297;2;2
"1688";2770;3;2
"2524";843;2;1
"890";1608;2;2
"3142";2373;3;2
"1182";942;2;2
"2394";958;3;2
"321";383;1;2
"1701";2604;1;1
"336";2209;2;2
"1700";3083;4;2
"9110";1451;4;5
"2392";956;1;1
"1835";375;2;2
"2288";2265;1;2
"397";1948;3;2
"13510";56;5;2
"1491";177;1;1
"236";718;1;1
"2461";3045;2;2
"1883";3360;3;2
"2414";2363;2;2
"2357";108;3;3
"280";2068;2;2
"2568";2560;2;2
"2442";1680;2;1
"13110";3372;4;5
"1022";1408;2;2
"91";530;1;1
"1693";3266;1;2
"568";1314;3;2
"1867";1144;3;2
"3145";3383;1;5
"1400";659;1;2
"2722";1062;2;1
"381";2613;2;2
"1544";902;1;1
"9510";1584;4;3
"693";923;2;2
"1827";2548;1;2
"2449";647;1;1
"3048";1690;2;1
"259";2711;1;2
"586";2792;2;1
"489";3367;1;2
"547";121;3;1
"2228";1618;2;2
"440";2787;1;2
"1536";2949;5;2
"1067";856;3;1
"8510";1286;4;2
"2042";3101;4;2
"718";3276;3;2
"169";1928;2;2
"142";3219;2;2
"4011";3376;4;3
"1858";1723;2;2
"251";727;2;2
"850";2597;1;2
"6410";408;4;5
"10910";2431;4;3
"2162";645;2;2
