"";"Observation.No";"Observed.y";"Predicted.y"
"337";1570;1;1
"2738";493;0;1
"201";2298;1;1
"614";328;0;1
"1208";195;0;1
"1838";136;0;1
"2599";50;1;1
"1496";812;0;1
"2793";435;0;1
"1055";2233;1;1
"1803";1716;1;1
"2610";2085;1;1
"1181";786;1;1
"269";325;1;1
"935";1634;0;1
"2780";1027;1;1
"2443";1183;0;1
"127";1538;0;1
"1261";2145;1;1
"715";1200;0;1
"1044";1485;0;1
"227";587;1;1
"251";528;1;1
"2193";1341;1;1
"1067";626;0;1
"21";2409;0;1
"2540";1314;0;1
"486";2021;0;1
"2386";675;0;1
"2226";599;0;1
"2625";2270;0;1
"1143";785;1;1
"2785";2207;0;1
"2891";1047;1;1
"2288";1614;1;1
"189";1362;0;1
"80";1327;0;1
"1390";1389;1;1
"2988";1832;1;1
"2383";672;1;1
"1626";1494;0;1
"2601";1132;1;1
"1883";2386;1;1
"3073";2005;1;1
"2002";1075;0;1
"2422";1404;1;1
"2206";1475;1;1
"443";926;1;1
"2515";950;1;1
"58";2402;1;1
"931";997;1;1
"41";968;0;1
"2722";765;1;1
"226";520;1;1
"2752";1770;0;1
"2238";430;0;1
"304";94;1;1
"1856";2261;0;1
"3048";1192;0;1
"779";1268;0;1
"2802";121;0;1
"2120";425;1;1
"2126";250;1;1
"1155";1760;1;1
"824";84;0;1
"1710";167;1;1
"718";2333;0;1
"1878";887;0;1
"1794";2252;0;1
"1534";1560;0;1
"2191";2147;1;1
"2774";1315;1;1
"2016";1296;1;1
"2234";426;1;1
"2248";2159;1;1
"500";208;1;1
"2671";2272;1;1
"1348";112;1;1
"2320";1667;0;1
"1328";844;0;1
"676";129;1;1
"906";1679;0;1
"171";2401;0;1
"97";979;0;1
"151";1226;0;1
"2037";2199;0;1
"990";1555;1;1
"2898";1599;0;1
"2080";1502;1;1
"1669";2035;0;1
"1976";1215;0;1
"1621";286;0;1
"2213";2306;0;1
"1085";808;1;1
"1512";117;1;1
"826";2154;0;1
"25";2417;0;1
"874";623;0;1
"1307";895;0;1
"2152";1444;0;1
"1476";2244;0;1
"823";83;1;1
"943";107;0;1
"2551";2151;1;1
"2827";1190;1;1
"2091";2266;0;1
"1306";478;0;1
"987";946;1;1
"2415";1688;1;1
"1267";311;0;1
"2326";1509;1;1
"2761";433;0;1
"1051";1837;0;1
"1169";1941;1;1
"674";1773;0;1
"1430";1744;1;1
"1248";2179;0;1
"694";330;0;1
"286";1473;0;1
"3136";1521;0;1
"1255";408;1;1
"2306";1507;0;1
"1104";615;1;1
"1947";1072;0;1
"2605";1655;0;1
"2763";1691;1;1
"2949";852;0;1
"1028";1872;0;1
"2377";1846;0;1
"1733";1004;0;1
"2608";1830;1;1
"2096";1442;0;1
"2830";900;0;1
"1269";1040;1;1
"34";383;1;1
"593";1601;0;1
"2420";1403;0;1
"3058";1029;1;1
"1811";1335;0;1
"1209";1203;1;1
"880";476;0;1
"1382";1490;0;1
"2338";1618;1;1
"1339";2010;1;1
"2514";949;0;1
"2384";673;1;1
"3138";201;0;1
"700";103;0;1
"3004";2340;0;1
"2508";1849;1;1
"410";1696;1;1
"1170";2382;1;1
"3103";635;0;1
"1009";1172;0;1
"2269";1142;0;1
"2580";1652;0;1
"1720";1235;0;1
"1391";1663;0;1
"899";1055;0;1
"3091";1798;0;1
"446";69;1;1
"2263";2121;0;1
"2811";2052;0;1
"2692";1767;0;1
"235";521;0;1
"54";972;1;1
"1243";2344;1;1
"1475";1205;1;1
